observed_pair_index,split,partition
442,cold_drug,train
443,cold_drug,train
444,cold_drug,train
445,cold_drug,train
446,cold_drug,train
447,cold_drug,train
448,cold_drug,train
449,cold_drug,train
450,cold_drug,train
451,cold_drug,train
452,cold_drug,train
453,cold_drug,train
454,cold_drug,train
455,cold_drug,train
456,cold_drug,train
457,cold_drug,train
458,cold_drug,train
459,cold_drug,train
460,cold_drug,train
461,cold_drug,train
462,cold_drug,train
463,cold_drug,train
464,cold_drug,train
465,cold_drug,train
466,cold_drug,train
467,cold_drug,train
468,cold_drug,train
469,cold_drug,train
470,cold_drug,train
471,cold_drug,train
472,cold_drug,train
473,cold_drug,train
474,cold_drug,train
475,cold_drug,train
476,cold_drug,train
477,cold_drug,train
478,cold_drug,train
479,cold_drug,train
480,cold_drug,train
481,cold_drug,train
482,cold_drug,train
483,cold_drug,train
484,cold_drug,train
485,cold_drug,train
486,cold_drug,train
487,cold_drug,train
488,cold_drug,train
489,cold_drug,train
490,cold_drug,train
491,cold_drug,train
492,cold_drug,train
493,cold_drug,train
494,cold_drug,train
495,cold_drug,train
496,cold_drug,train
497,cold_drug,train
498,cold_drug,train
499,cold_drug,train
500,cold_drug,train
501,cold_drug,train
502,cold_drug,train
503,cold_drug,train
504,cold_drug,train
505,cold_drug,train
506,cold_drug,train
507,cold_drug,train
508,cold_drug,train
509,cold_drug,train
510,cold_drug,train
511,cold_drug,train
512,cold_drug,train
513,cold_drug,train
514,cold_drug,train
515,cold_drug,train
516,cold_drug,train
517,cold_drug,train
518,cold_drug,train
519,cold_drug,train
520,cold_drug,train
521,cold_drug,train
522,cold_drug,train
523,cold_drug,train
524,cold_drug,train
525,cold_drug,train
526,cold_drug,train
527,cold_drug,train
528,cold_drug,train
529,cold_drug,train
530,cold_drug,train
531,cold_drug,train
532,cold_drug,train
533,cold_drug,train
534,cold_drug,train
535,cold_drug,train
536,cold_drug,train
537,cold_drug,train
538,cold_drug,train
539,cold_drug,train
540,cold_drug,train
541,cold_drug,train
542,cold_drug,train
543,cold_drug,train
544,cold_drug,train
545,cold_drug,train
546,cold_drug,train
547,cold_drug,train
548,cold_drug,train
549,cold_drug,train
550,cold_drug,train
551,cold_drug,train
552,cold_drug,train
553,cold_drug,train
554,cold_drug,train
555,cold_drug,train
556,cold_drug,train
557,cold_drug,train
558,cold_drug,train
559,cold_drug,train
560,cold_drug,train
561,cold_drug,train
562,cold_drug,train
563,cold_drug,train
564,cold_drug,train
565,cold_drug,train
566,cold_drug,train
567,cold_drug,train
568,cold_drug,train
569,cold_drug,train
570,cold_drug,train
571,cold_drug,train
572,cold_drug,train
573,cold_drug,train
574,cold_drug,train
575,cold_drug,train
576,cold_drug,train
577,cold_drug,train
578,cold_drug,train
579,cold_drug,train
580,cold_drug,train
581,cold_drug,train
582,cold_drug,train
583,cold_drug,train
584,cold_drug,train
585,cold_drug,train
586,cold_drug,train
587,cold_drug,train
588,cold_drug,train
589,cold_drug,train
590,cold_drug,train
591,cold_drug,train
592,cold_drug,train
593,cold_drug,train
594,cold_drug,train
595,cold_drug,train
596,cold_drug,train
597,cold_drug,train
598,cold_drug,train
599,cold_drug,train
600,cold_drug,train
601,cold_drug,train
602,cold_drug,train
603,cold_drug,train
604,cold_drug,train
605,cold_drug,train
606,cold_drug,train
607,cold_drug,train
608,cold_drug,train
609,cold_drug,train
610,cold_drug,train
611,cold_drug,train
612,cold_drug,train
613,cold_drug,train
614,cold_drug,train
615,cold_drug,train
616,cold_drug,train
617,cold_drug,train
618,cold_drug,train
619,cold_drug,train
620,cold_drug,train
621,cold_drug,train
622,cold_drug,train
623,cold_drug,train
624,cold_drug,train
625,cold_drug,train
626,cold_drug,train
627,cold_drug,train
628,cold_drug,train
629,cold_drug,train
630,cold_drug,train
631,cold_drug,train
632,cold_drug,train
633,cold_drug,train
634,cold_drug,train
635,cold_drug,train
636,cold_drug,train
637,cold_drug,train
638,cold_drug,train
639,cold_drug,train
640,cold_drug,train
641,cold_drug,train
642,cold_drug,train
643,cold_drug,train
644,cold_drug,train
645,cold_drug,train
646,cold_drug,train
647,cold_drug,train
