fold,model,training_start,training_end,test_start,test_end,timestamp,actual,forecast,residual,absolute_residual,fold_raw_negative_forecast_count,is_known_closure,modified_z_score,absolute_modified_z_score,is_statistical_anomaly,is_actionable_anomaly,anomaly_type,anomaly_severity
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 00:00:00,1107.0,1101.3020926643894,5.69790733561058,5.69790733561058,0,False,0.06084762885889614,0.06084762885889614,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 01:00:00,1001.0,933.3131876414898,67.68681235851022,67.68681235851022,0,False,0.25895056630334323,0.25895056630334323,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 02:00:00,692.0,659.5738796577924,32.42612034220758,32.42612034220758,0,False,0.14626513231845414,0.14626513231845414,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 03:00:00,504.0,434.8128536920021,69.18714630799786,69.18714630799786,0,False,0.2637453043686685,0.2637453043686685,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 04:00:00,285.0,288.42499505736265,-3.42499505736265,3.42499505736265,0,False,0.03169283476470561,0.03169283476470561,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 05:00:00,227.0,300.65466546455434,-73.65466546455434,73.65466546455434,0,False,-0.19274578047265772,0.19274578047265772,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 06:00:00,322.0,532.5804272264795,-210.58042722647951,210.58042722647951,0,False,-0.6303304677136308,0.6303304677136308,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 07:00:00,511.0,959.300888707826,-448.300888707826,448.300888707826,0,False,-1.390032896603242,1.390032896603242,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 08:00:00,827.0,1658.797235996793,-831.797235996793,831.797235996793,0,False,-2.615603067089316,2.615603067089316,False,False,normal,normal
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 09:00:00,956.0,1247.7818993898352,-291.7818993898352,291.7818993898352,0,False,-0.8898325536825918,0.8898325536825918,False,False,normal,normal
