anomaly_rank,fold,model,training_start,training_end,test_start,test_end,timestamp,actual,forecast,residual,absolute_residual,fold_raw_negative_forecast_count,is_known_closure,modified_z_score,absolute_modified_z_score,is_statistical_anomaly,is_actionable_anomaly,anomaly_type,anomaly_severity,temperature_c,humidity_percent,rainfall_mm,snowfall_cm,season,holiday,functioning_day
1,2,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-14 23:00:00,2018-09-15 00:00:00,2018-09-21 23:00:00,2018-09-17 18:00:00,3277.0,67.51393834677906,3209.486061653221,3209.486061653221,85,False,10.299451522339217,10.299451522339217,True,True,positive_demand_spike,extreme,25.3,56,0.0,0.0,Autumn,No Holiday,Yes
2,4,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-28 23:00:00,2018-09-29 00:00:00,2018-10-05 23:00:00,2018-10-05 18:00:00,74.0,2601.205046592667,-2527.205046592667,2527.205046592667,0,False,-8.03375438499415,8.03375438499415,True,True,negative_demand_drop,extreme,16.7,96,1.0,0.0,Autumn,No Holiday,Yes
3,2,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-14 23:00:00,2018-09-15 00:00:00,2018-09-21 23:00:00,2018-09-17 19:00:00,2489.0,0.0,2489.0,2489.0,85,False,7.996936174656318,7.996936174656318,True,True,positive_demand_spike,extreme,23.0,63,0.0,0.0,Autumn,No Holiday,Yes
4,8,gradient_boosting_recursive,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,2018-11-02 18:00:00,2314.0,25.633733659390515,2288.3662663406094,2288.3662663406094,114,False,7.355754789476352,7.355754789476352,True,True,positive_demand_spike,high,14.6,42,0.0,0.0,Autumn,No Holiday,Yes
5,8,gradient_boosting_recursive,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,2018-11-01 18:00:00,2254.0,3.974434057525354,2250.0255659424747,2250.0255659424747,114,False,7.233226324588287,7.233226324588287,True,True,positive_demand_spike,high,11.8,43,0.0,0.0,Autumn,No Holiday,Yes
6,2,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-14 23:00:00,2018-09-15 00:00:00,2018-09-21 23:00:00,2018-09-17 20:00:00,2232.0,0.0,2232.0,2232.0,85,False,7.175620571413849,7.175620571413849,True,True,positive_demand_spike,high,21.9,65,0.0,0.0,Autumn,No Holiday,Yes
7,2,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-14 23:00:00,2018-09-15 00:00:00,2018-09-21 23:00:00,2018-09-17 21:00:00,2100.0,0.0,2100.0,2100.0,85,False,6.753777537841842,6.753777537841842,True,True,positive_demand_spike,high,21.3,66,0.0,0.0,Autumn,No Holiday,Yes
8,8,gradient_boosting_recursive,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,2018-10-31 18:00:00,2094.0,3.974434057525354,2090.0255659424747,2090.0255659424747,114,False,6.721901435410096,6.721901435410096,True,True,positive_demand_spike,high,9.4,48,0.0,0.0,Autumn,No Holiday,Yes
9,4,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-28 23:00:00,2018-09-29 00:00:00,2018-10-05 23:00:00,2018-10-05 20:00:00,44.0,2151.258549382519,-2107.258549382519,2107.258549382519,0,False,-6.691697534076977,6.691697534076977,True,True,negative_demand_drop,high,16.5,96,1.0,0.0,Autumn,No Holiday,Yes
10,4,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-28 23:00:00,2018-09-29 00:00:00,2018-10-05 23:00:00,2018-10-05 19:00:00,55.0,2161.776856337817,-2106.776856337817,2106.776856337817,0,False,-6.6901581488101005,6.6901581488101005,True,True,negative_demand_drop,high,16.6,96,1.5,0.0,Autumn,No Holiday,Yes
11,2,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-14 23:00:00,2018-09-15 00:00:00,2018-09-21 23:00:00,2018-09-17 08:00:00,2276.0,216.79277883870392,2059.2072211612963,2059.2072211612963,85,False,6.623412768348276,6.623412768348276,True,True,positive_demand_spike,high,18.9,77,0.0,0.0,Autumn,No Holiday,Yes
12,2,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-14 23:00:00,2018-09-15 00:00:00,2018-09-21 23:00:00,2018-09-17 17:00:00,2056.0,0.0,2056.0,2056.0,85,False,6.613163193317839,6.613163193317839,True,True,positive_demand_spike,high,27.3,43,0.0,0.0,Autumn,No Holiday,Yes
13,8,gradient_boosting_recursive,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,2018-10-30 18:00:00,2074.0,22.57316925028755,2051.4268307497123,2051.4268307497123,114,False,6.598548347942237,6.598548347942237,True,True,positive_demand_spike,high,8.4,52,0.0,0.0,Autumn,No Holiday,Yes
14,8,gradient_boosting_recursive,2017-12-01 00:00:00,2018-10-26 23:00:00,2018-10-27 00:00:00,2018-11-02 23:00:00,2018-10-29 18:00:00,1987.0,0.9138696484223736,1986.0861303515776,1986.0861303515776,114,False,6.389733808005352,6.389733808005352,True,True,positive_demand_spike,high,9.4,51,0.0,0.0,Autumn,No Holiday,Yes
15,4,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-28 23:00:00,2018-09-29 00:00:00,2018-10-05 23:00:00,2018-10-05 21:00:00,32.0,2044.3443462952755,-2012.3443462952755,2012.3443462952755,0,False,-6.388372569233094,6.388372569233094,True,True,negative_demand_drop,high,16.5,96,1.5,0.0,Autumn,No Holiday,Yes
