attack_category,true_label,observations,predicted_normal,predicted_anomaly,predicted_anomaly_rate,mean_reconstruction_error,median_reconstruction_error,maximum_reconstruction_error
Normal,0,37000,35974,1026,0.02772972972972973,0.088682874416022503,0.025226570733499029,30.288889206587978
Analysis,1,677,655,22,0.032496307237813882,0.15092535926429521,0.12366967550442898,1.4803100784413044
Backdoor,1,583,549,34,0.058319039451114926,0.17746787318534418,0.12933211577032316,1.4803100784413044
DoS,1,4089,3727,362,0.088530202983614581,6.4601462226945356,0.11781816679807258,6596.9746457599667
Exploits,1,11132,10330,802,0.07204455623427955,8.4886953898035848,0.085608850737096093,10086.053761969963
Fuzzers,1,6062,5784,278,0.045859452325965028,0.16412581355604811,0.062946961534380202,215.12610327263508
Generic,1,18871,18095,776,0.041121297228551748,0.22616165014686745,0.1407054813534804,610.03914447802617
Reconnaissance,1,3496,3415,81,0.023169336384439361,0.081165822666270496,0.046702448115033449,3.2276313581074794
Shellcode,1,378,378,0,0,0.05629129740751395,0.030867283620649555,0.4504417306933225
Worms,1,44,44,0,0,0.089807816909810559,0.055716183234429721,0.3252150559661976
